QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-00552,Noida-73-Jaipal-Charan-Singh,"NOI_PVT_Sarfabad, Sector 73",Private,Noida Sector 73 ,Noida,UP,North,28.588056,77.38047
WMQISXM1V1-00309,"Bangalore-Kaveri-Nagar, Yaswantpur 1","BLR_PVT_Kaveri nagar,Laggere",Private,Yashwantpur ,Bengaluru,Karnataka,South,13.0186,77.52297
WMQISXM1V1-02105,Sector 49 Gurugram,"GUR_PVT_Sector 47, Fatehpur",Private,Adampur Fatehpur,Gurugram,Haryana,North,28.42034,77.04866
WMQISXM1V1-02055,Tarnaka,"HYD_PVT_Snehapuri Colony, Tarnaka",Private,Pallavi Residency,Hyderabad,Telangana,South,17.427802,78.543518
WMQISXM1V1-00100,Uttam Nagar USP,"DEL_FRN_Nala Rd, Shiv Vihar, Hastsal",Franchise,Uttamnagar,Delhi,Delhi,North,28.649899,77.050026
WMQISXM1V1-00374,Delhi-Anil-Uttamnagar 1,"DEL_FRN_New Guru Hari Kishan Nagar, Nilothi",Franchise,Uttam Nagar ,Delhi,Delhi,North,28.63554,77.0613
WMQISXM1V1-00296,Delhi-Anil-Uttamnagar 2,"DEL_FRN_New Guru Hari Kishan Nagar, Nilothi",Franchise,Uttam Nagar ,Delhi,Delhi,North,28.63554,77.0613
WMQISXM1V1-00422,Mobility Solutions 2,"GGN_FRN_Av.69, Sector 69",Franchise,Sector-69,Gurugram,HARYANA,North,28.39548,77.0395
WMQISXM1V1-00312,Arshdeep Singh Karwal3,"DEL_FRN_Shindi colony, Naraina",Franchise,Delhi,Delhi,Delhi,North,28.624399,77.135937
WMQISXM1V1-00200,Shriram Aggarwal 2,"DEL_FRN-Block-B,-Dilshad-Colony",Franchise,Delhi,Delhi,Delhi,North,28.68737,77.32434
WMQISXM1V1-00122,Chandigarh Gas Company,CDG_PVT_Khudda Lahora,Private,KUDDA JASSU,Chandigarh,Punjab,North,30.77309,76.7716
WMQISXM1V1-00218,"Sector 41, Chandigarh","CDG_PVT_Buterla Village, Sector 41",Private,Sector 41,Chandigarh,Chandigarh,North,30.731384,76.739271
WMQISXM1V1-00409,TRS Commercials1,"DEL_FRN_Khichripur Rd, Kalyanpuri",Franchise,East Vinod Nagar,Delhi,Delhi,North,28.623472,77.310104
WMQISXM1V1-00474,TRS Commercials2,"DEL_FRN_Khichripur Rd, Kalyanpuri",Franchise,East Vinod Nagar,Delhi,Delhi,North,28.623472,77.310104
WMQISXM1V1-00510,Akshay Rathi ,"DEL_FRN_Rathi chowk, Rohini",Franchise,shahbad,Delhi,Delhi,North,28.74496761,77.09794828
WMQISXM1V1-00507,JP Nagar_Pvt_2,"BLR_PVT_Hub_Puttenahalli,JP Nagar",Private,JP nagar,Bengaluru,Karnataka,South,12.89321982,77.58404202
WMQISXM1V1-00543,Harvinder Kumar 1,"DEL_FRN_Block M, Raghubir Nagar",Franchise,RAGHUBIR NAGAR,Delhi,Delhi,North,28.654031,77.113751
WMQISXM1V1-00124,Charu Goel  & Chetan Goel 3,"NOI_FRN_Chaukhandi, Basi Bahuddin Nagar",Franchise,Noida,Noida,UP,North,28.60182,77.39409
WMQISXM1V1-02040,Raj Rani,"DEL_FRN_Kirari Extension, Nangloi",Franchise,Nangloi,Delhi,Delhi,North,28.684142,77.065373
WMQISXM1V1-00213,Botanical Garden Metro Station 1,NOI_STQ_Botanical Garden Metro station,STATIQ,Botanical Garden,Noida,UP,North,28.56424,77.33342
WMQISXM1V1-00202,Botanical Garden Metro Station 2,NOI_STQ_Botanical Garden Metro station,STATIQ,Botanical Garden,Noida,UP,North,28.56424,77.33342
WMQISXM1V1-00415,Shalimar Bagh 2,DEL_DMR_Shalimar Bagh Metro Station,DMRC,Metro Station Shalimar Bagh Delhi,Delhi,Delhi,North,28.702314,77.166546
WMQISXM1V1-00264,Sikanderpur Metro Station 3,GUR_STQ_Sikanderpur Metro Station,STATIQ,Sikanderpur,Gurugram,HARYANA,North,28.48142,77.092535
WMQISXM1V1-00256,Arora Battery and Motors 1,"DEL_FRN_Sector 3, Rohini",Franchise,Rohini,Delhi,Delhi,North,28.704765,77.107268
WMQISXM1V1-00351,Arora Battery and Motors 2,"DEL_FRN_Sector 3, Rohini",Franchise,Rohini,Delhi,Delhi,North,28.704765,77.107268
WMQISXM1V1-00212,Nangloi Metro Station1,DEL_STQ_Nangloi Metro station,STATIQ,Nangloi,Delhi,Delhi,North,28.68229,77.0648
WMQISXM1V1-00219,Nangloi Metro Station2,DEL_STQ_Nangloi Metro station,STATIQ,Nangloi,Delhi,Delhi,North,28.68229,77.0648
WMQISXM1V1-00330,Pulbangash/Jhilmili,DEL_DTL_Jhilmil Metro station,DTL,TPDDL ,Delhi,Delhi,North,28.675822,77.313626
WMQISXM1V1-00568,Annapurna Service Station,"BLR_IOC_Annapurna Service Station, Jayanagar",IOCL,R.V. Road,Bengaluru,Karnataka,South,12.94209735,77.58029603
WMQISXM1V1-00433,19th Alpha Market Research Pvt Ltd,"DEL_FRN_Shani Bazar Rd, Jain Colony",Franchise,Barwala,Delhi,Delhi,North,28.754419,77.072639
WMQISXM1V1-00407,AAA PACKERS 1,"NOI_FRN_Sector 121, Garhi Chaukhandi",Franchise,Noida Sector-121,Noida,UP,North,28.60538,77.40117
WMQISXM1V1-00524,AAA PACKERS 2,"NOI_FRN_Sector 121, Garhi Chaukhandi",Franchise,Noida Sector-121,Noida,UP,North,28.60538,77.40117
WMQISXM1V1-00207,Aasha enterprises ( Rajwanti ),"DEL_FRN_P1 Street, Budh Vihar,Phase 1",Franchise,Sultanpuri-C Block ,Delhi,Delhi,North,28.710639,77.086711
WMQISXM1V1-00432,Vikas Rana,"NOI_FRN_
Chaura Raghunathpur, Block D",Franchise,Sector 22,Noida,UP,North,28.597444,77.348618
WMQISXM1V1-00386,HARE KRISHNA FUELS,"DEL_IOC_Hare Krishna Fuels, Mehrauli",IOCL,MEHRAULI,Delhi,Delhi,North,28.49504,77.15094
WMQISXM1V1-00368,MANGAL PETRO-2,"DEL_IOC_Mangal Petro, West Enclave, Pitampura",IOCL,Pitampura,Delhi,Delhi,North,28.688816,77.104702
WMQISXM1V1-00117,MP Fuels- Kudlu gate,"BLR_IOC_MP fuels, Kudlu gate",IOCL,Kudlugate,Bengaluru,Karnataka,South,12.8934,77.6506
WMQISXM1V1-00236,BRPL - M block Market 3,"DEL_BRP_Block M, Greater Kailash",BRPL,"GK-II, M-Block Market",Delhi,Delhi,North,28.532402,77.242656
WMQISXM1V1-00160,BRPL-Paschim Vihar East 2,"DEL_BRP_Shiva Enclave, Paschim Vihar",BRPL,Paschim Vihar East,Delhi,delhi,North,28.677235,77.111966
WMQISXM1V1-00306,BRPL - Mohan Singh Market 3,"DEL_BRP_Mohan Singh Market, INA",BRPL,INA Market,Delhi,Delhi,North,28.57362,77.211061
WMQISXM1V1-00273,BRPL - Saket 3,"DEL_BRP_Ashok Vihar, Saket",BRPL,Saket,Delhi,Delhi,North,28.523725,77.207526
WMQISXM1V1-00237,BRPL - Sarita Vihar H block 3,"DEL_BRP_Pocket K, Sarita Vihar",BRPL,Sarita Vihar,Delhi,Delhi,North,28.53538,77.291335
WMQISXM1V1-00375,BRPL - Pushp Vihar 3,"DEL_BRP_Punjab Transport Service, Pushp Vihar",BRPL,Pushp Vihar,Delhi,Delhi,North,28.521086,77.227395
WMQISXM1V1-00155,BYPL-NAND NAGRI-Dhalao-2,"DEL_BYP_Nand Nagri, Mandoli",BYPL,NEAR AKHARA NAND NAGRI,Delhi,Delhi,North,28.69385,77.310534
WMQISXM1V1-00554,Pulbangash/Jhilmili 2,DEL_DTL_Jhilmil Metro station,DTL,TPDDL ,Delhi,Delhi,North,28.675822,77.313626
WMQISXM1V1-00468,Bangalore-Jakkur,"BLR_PVT_7th Cross Rd, Jakkur",Private,Jakkur ,Bengaluru,Karnataka,South,13.077579,77.606088
WMQISXM1V1-02015,Sri Krishna Enterprise - Hongasandra,"BLR_FRN_Mico Layout,Hongasandra",Franchise,Hongasandra,Bengaluru,Karnataka,South,12.8917499,77.6288695
WMQISXM1V1-00405,CM enterprises Janakpuri -2,"DEL_IOC_CM-Enterprises, Janakpuri",IOCL,Janakpuri,Delhi,Delhi,North,28.62956,77.07884
WMQISXM1V1-00346,BRPL-Motibagh 3,"DEL_BRP_Sector 8, RK Puram",BRPL,Motibagh,Delhi,Delhi,North,28.57263,77.16953
WMQISXM1V1-00268,Mamta Dixit,DEL_FRN_Raja Vihar,Franchise,Raja Vihar,Delhi,Delhi,North,28.74935,77.13055
WMQISXM1V1-00259,ARORA ENTERPRISES 1,"DEL_FRN_Sector 24, Rohini",Franchise,ROHINI,Delhi,Delhi,North,28.729868,77.091049
WMQISXM1V1-00416,Dharampal Yadav,"DEL_FRN_Sector 18, Rohini",Franchise,Rohini Sector 18,Delhi,Delhi,North,28.740156,77.139758
WMQISXM1V1-00385,ARORA ENTERPRISES 2,"DEL_FRN_Sector 24, Rohini",Franchise,ROHINI,Delhi,Delhi,North,28.729868,77.091049
WMQISXM1V1-00343,Shriram Aggarwal 3,"DEL_FRN-Block-B,-Dilshad-Colony",Franchise,Dilshan Garden,Delhi,Delhi,North,28.68737,77.32434
WMQISXM1V1-00403,Millennium City Centre Gurugram1,GGN_STQ_Millennium City Centre Metro,STATIQ,Gurugram,Gurugram,HARYANA,North,28.45854,77.07176
WMQISXM1V1-00404,Millennium City Centre Gurugram2,GGN_STQ_Millennium City Centre Metro,STATIQ,Gurugram,Gurugram,HARYANA,North,28.45854,77.07176
WMQISXM1V1-00277,GAUTAMPURI 1,"DEL_BYPL_Kaithwara Jagjivan Nagar, Shahdara",BYPL,Delhi,Delhi,Delhi,North,28.678465,77.257801
WMQISXM1V1-00227,GAUTAMPURI 2,"DEL_BYPL_Kaithwara Jagjivan Nagar, Shahdara",BYPL,Delhi,Delhi,Delhi,North,28.678465,77.257801
WMQISXM1V1-00485,BMR Enterprises,DEL_RFP_Karawal Nagar,Franchise,KARAWAL NAGAR,Delhi,Delhi,North,28.732764,77.260403
WMQISXM1V1-00501,Askara,DEL_FRN_JJ Colony_Bawana,Franchise,Delhi,Delhi,Delhi,North,28.807512,77.051096
WMQISXM1V1-00528,BMR Enterprises,DEL_RFP_Karawal Nagar,Franchise,KARAWAL NAGAR,Delhi,Delhi,North,28.732764,77.260403
WMQISXM1V1-02022,Powerpod- Bellandur-1,"BLR_PPD_Bellandur Railway Station Rd, Panathur",Power pod,Panathur,Bengaluru,Karnataka,South,12.94017477,77.70561583
WMQISXM1V1-00023,Powerpod- Bellandur-2,"BLR_PPD_Bellandur Railway Station Rd, Panathur",Power pod,Panathur,Bengaluru,Karnataka,South,12.94017477,77.70561583
WMQISXM1V1-00470,Seelampur Metro Station,DEL_STQ_Seelampur Metro-Station,STATIQ,Seelampur Delhi,Delhi,Delhi,North,28.67055,77.26646
WMQISXM1V1-00387,Seelampur Metro Station,DEL_STQ_Seelampur Metro-Station,STATIQ,Seelampur Delhi,Delhi,Delhi,North,28.67055,77.26646
WMQISXM1V1-00417,Dharampal Yadav 2,"DEL_FRN_Sector 18, Rohini",Franchise,Rohini Sector 18,Delhi,Delhi,North,28.740156,77.139758
WMQISXM1V1-00529,Powerpod- Yeswantpur-1,"BLR_PPD_Industrial Suburb, Yeswanthpur",Power pod,Yeshwanthpura,Bengaluru,Karnataka,South,"13.02349547	",77.54125245
WMQISXM1V1-00253,SALOCHNA FILLING STATION,"DEL_IOC_Salochna Filling station,Tyagi Vihar",IOCL,GHEVRA,Delhi,Delhi,North,28.68966,76.99373
WMQISXM1V1-00435,Rahul Yadav,"GUR_FRN_Sector 18, Sarhaul",Franchise,Gurugram-Sector 18,Gurugram,Haryana,North,28.48588,77.07115
WMQISXM1V1-00313,Yashpal Singh,DEL_FRN_Peer Baba Basti_Jaitpur,Franchise,Badarpur,Delhi,Delhi,North,28.508537,77.329905
WMQISXM1V1-00344,Anycar Mobilty Solutions Pvt Ltd,GUR_FRN_Laxman Vihar Ind. Area,Franchise,Gurugram,Gurugram,HARYANA,North,28.48533,77.01114
WMQISXM1V1-00053,Powerpod- Bellandur-3,"BLR_PPD_Bellandur Railway Station Rd, Panathur",Power pod,Panathur,Bengaluru,Karnataka,South,12.94017477,77.70561583
WMQISXM1V1-00284,Anycar Mobilty Solutions Pvt Ltd2,GUR_FRN_Laxman Vihar Ind. Area,Franchise,Gurugram,Gurugram,HARYANA,North,28.48533,77.01114
WMQISXM1V1-00538,Hybrid Fleet Management Pvt Ltd.2,"DEL_FRN_Uday vihar 2, Kamruddin Nagar",Franchise,Nilothi Extn,Delhi,Delhi,North,28.65922,77.06479
WMQISXM1V1-00471,GAZIPUR DAIRY FARM,DEL_BYP_Metro Depot_Ghazipur,BYPL,DALLUPURA,Delhi,Delhi,North,28.62646,77.32124
WMQISXM1V1-00291,GAZIPUR DAIRY FARM,DEL_BYP_Metro Depot_Ghazipur,BYPL,DALLUPURA,Delhi,Delhi,North,28.62646,77.32124
WMQISXM1V1-00154,BRPL-Paschim Vihar East 3,"DEL_BRP_Shiva Enclave, Paschim Vihar",BRPL,Paschim Vihar East,Delhi,delhi,North,28.677235,77.111966
WMQISXM1V1-00516,Arora Battery and Motors 3,"DEL_FRN_Sector 3, Rohini",Franchise,Rohini,Delhi,Delhi,North,28.704765,77.107268
WMQISXM1V1-02019,Powerpod- Yeswantpur-2,"BLR_PPD_Industrial Suburb, Yeswanthpur",Power pod,Yeswanthpura,Bengaluru,Karnataka,South,13.02349547,77.54125245
WMQISXM1V1-00290,Vishnu Kumar Aggarwal 3,"DEL_FRN_Raghubir Nagar, Tagor Garden ext.",Franchise,Tagore Garden,Delhi,Delhi,North,28.654322,77.113672
WMQISXM1V1-00430,Pinkey,"DEL_FRN_Old Anarkali, Ram Nagar",Franchise,Aram park,Delhi,Delhi,North,28.653504,77.288495
WMQISXM1V1-00356,Whole Star 1,"SNP_FRN_Industrial area, near Ashok nagar",Franchise, Inderpuri ,Sonipat,HARYANA,North,28.986242,77.025686
WMQISXM1V1-00564,Whole Star 2,"SNP_FRN_Industrial area, near Ashok nagar",Franchise, Inderpuri ,Sonipat,HARYANA,North,28.986242,77.025686
WMQISXM1V1-00065,Powerpod- Thannisandra-1,"BLR_PPD_P&T layout,Thannisandra",Power pod,Thannisandra,Bengaluru,Karnataka,South,13.06079539,77.6288544
WMQISXM1V1-00031,Powerpod- Thannisandra-2,"BLR_PPD_P&T layout,Thannisandra",Power pod,Thannisandra,Bengaluru,Karnataka,South,13.06079539,77.6288544
WMQISXM1V1-00345,Harvinder Kumar 2,"DEL_FRN_Block M, Raghubir Nagar",Franchise,RAGHUBIR NAGAR,Delhi,Delhi,North,28.654031,77.113751
WMQISXM1V1-00048,Millennium City Centre Gurugram3,GGN_STQ_Millennium City Centre Metro,STATIQ,Gurugram,Gurugram,HARYANA,North,28.45854,77.07176
WMQISXM1V1-00012,Mayapuri Depot 3,DEL_DTL_Mayapuri Depot,DTL,BRPL ,Delhi,Delhi,North,28.63638,77.13007
WMQISXM1V1-00121,Gurvinder Kaur,"GZB_FRN_Galek chand, Nehru Nagar III",Franchise,Ghandhi Nagar,Ghaziabad,UP,North,28.657277,77.439725
WMQISXM1V1-00008,IOCL-AKAASH AUTO CENTRE 2,"DEL_IOC_AKAASH-AUTO-CENTRE, Swasthya Vihar",IOCL,Laxmi Nagar,Delhi,Delhi,North,28.640264,77.28516
WMQISXM1V1-00328,IOCL - Motor Ad Hoc2,"DEL_IOC_Motor-Ad-Hoc, Library Ave, Pusa",IOCL,Pusa,Delhi,Delhi,North,28.64056,77.17341
WMQISXM1V1-00294,ELECTRONIC CITY-Green Drive ,"BLR_FRN_Veer Sandra, Electronic City",Franchise,Electronic City ,Bengaluru,Karnataka,South,12.836549,77.678243
WMQISXM1V1-00434,Aman Fill Point2,"DEL_IOC_Aman-Fill-Point, Mayur vihar Ph I",IOCL,East Delhi,Delhi,Delhi,North,28.6216833,77.30175
WMQISXM1V1-00464,ISBT Kashmiri Gate,"DEL_DTI_ISBT, Kashmiri Gate",DTIDC,Kashmiri Gate,Delhi,Delhi,North,28.66877,77.22891
WMQISXM1V1-00308,Aasha enterprises 1 ( Ram Prakash Dalal),"DEL_FRN_P1 Street, Budh Vihar,Phase 1",Franchise,Pooth Kalan,Delhi,Delhi,North,28.710639,77.086711
WMQISXM1V1-00534,Khan Serive Center 1,"DEL_FRN_Maharishi Valmiki Hospital, Puth Khurd",Franchise,Puth Khurd,Delhi,Delhi,North,28.774955,77.047445
WMQISXM1V1-00535,Khan Serive Center 2,"DEL_FRN_Maharishi Valmiki Hospital, Puth Khurd",Franchise,Puth Khurd,Delhi,Delhi,North,28.774955,77.047445
WMQISXM1V1-00274,Meena Mahajan 1,"DEL_FRN_Near Fun N Food, Kapashera",Franchise,Fun & Food Kapashera,Delhi,Delhi,North,28.52438,77.08529
WMQISXM1V1-00315,Meena Mahajan 2,"DEL_FRN_Near Fun N Food, Kapashera",Franchise,Kapas Hera,Delhi,Delhi,North,28.52438,77.08529
WMQISXM1V1-00420,ARORA ENTERPRISES 3,"DEL_FRN_Sector 24, Rohini",Franchise,ROHINI,Delhi,Delhi,North,28.729868,77.091049
WMQISXM1V1-00331,Raj Telecom,"DEL_FRN_Maharishi Valmiki Marg,Mangolpuri",Franchise,Mangolpuri,Delhi,Delhi,North,28.696117,77.088612
WMQISXM1V1-00314,Whole Star Location -2,"SNP_FRN_Old DC,Rd",Franchise,Sonipat,Sonipat,HARYANA,North,28.98982,77.02481
WMQISXM1V1-00226,Govindpuri Metro Station3,DEL_STQ_Govindpuri Metro Station,STATIQ,Govindpuri,Delhi,Delhi,North,28.544366,77.264706
WMQISXM1V1-00491,Nawada Metro Station1,DEL_STQ_Nawada-Metro-Station,STATIQ,Uttem Nagar,Delhi,Delhi,North,28.619889,77.045363
WMQISXM1V1-00333,Nawada Metro Station 2,DEL_STQ_Nawada-Metro-Station,STATIQ,Uttem Nagar,Delhi,Delhi,North,28.619889,77.045363
WMQISXM1V1-00047,Patel Nagar 1,DEL_STQ_Patel Nagar Metro Station,STATIQ,Patel Nagar Metro,Delhi,Delhi,North,28.64500363,77.16922808
WMQISXM1V1-02008,Patel Nagar 2,DEL_STQ_Patel Nagar Metro Station,STATIQ,Patel Nagar Metro,Delhi,Delhi,North,28.64500363,77.16922808
WMQISXM1V1-00107,Chaudhary Auto Service,FDB_IOC_Chaudhary Auto service,IOCL,Faridabad,Faridabad,Haryana,North,28.41064,77.31074
WMQISXM1V1-00509,AAA PACKERS 3,"NOI_FRN_Sector 121, Garhi Chaukhandi",Franchise,Noida Sector-121,Noida,UP,North,28.60538,77.40117
WMQISXM1V1-00472,Gautam1,"DEL_FRN_Sector 18, Rohini_Hirday Ram Park",Franchise,Rohini sector 18,Delhi,Delhi,North,28.741515,77.134677
WMQISXM1V1-00338,Gautam2,"DEL_FRN_Sector 18, Rohini_Hirday Ram Park",Franchise,Rohini sector 18,Delhi,Delhi,North,28.741515,77.134677
WMQISXM1V1-00019,Mobility Solutions 3,"GGN_FRN_Av.69, Sector 69",Franchise,Sector-69,Gurugram,HARYANA,North,28.39548,77.0395
WMQISXM1V1-00021,Mobility Solutions 4,"GGN_FRN_Av.69, Sector 69",Franchise,Sector-69,Gurugram,HARYANA,North,28.39548,77.0395
WMQISXM1V1-00465,Powerpod- Thannisandra-3,"BLR_PPD_P&T layout,Thannisandra",Power pod,Thannisandra,Bengaluru,Karnataka,South,13.06079539,77.6288544
WMQISXM1V1-00632,Deepanjali Nagar Metro,BLR_BMR_Deepanjali Nagar Metro station,BMRCL,Deepanjali Nagar,Bengaluru,Karnataka,South,12.95241656,77.53694351
WMQISXM1V1-00229,Botanical Garden Metro Station 3,NOI_STQ_Botanical Garden Metro station,STATIQ,Botanical Garden,Noida,UP,North,28.56424,77.33342
WMQISXM1V1-00208,Nangloi Metro Station3,DEL_STQ_Nangloi Metro station,STATIQ,Delhi,Delhi,Delhi,North,28.68229,77.0648
WMQISXM1V1-00533,WELCOME COLONY1,"DEL_BYP_Welcome Colony, Shahdara",BYPL,WELCOME COLONY,Delhi,Delhi,North,28.676806,77.276312
WMQISXM1V1-00357,WELCOME COLONY2,"DEL_BYP_Welcome Colony, Shahdara",BYPL,WELCOME COLONY,Delhi,Delhi,North,28.676806,77.276312
WMQISXM1V1-00637,Singayyana Palaya,BLR_BMR_Singayyana Palaya Metro station,BMRCL,Mahadevpura,Bengaluru,Karnataka,South,12.99678,77.69217
WMQISXM1V1-00633,Whitefield(Kadugodi),BLR_BMR_Whitefield Kadugodi Metro station,BMRCL,Kadugodi,Bengaluru,Karnataka,South,12.99507,77.75777
WMQISXM1V1-00646,Powerpod- Hoodi-1,BLR_PPD_Kundalahalli_Main_Rd_Hoodi,Power pod,Mahadevpura,Bengaluru,Karnataka,South,12.98416085,77.71148888
WMQISXM1V1-00647,Powerpod- Hoodi-2,BLR_PPD_Kundalahalli_Main_Rd_Hoodi,Power pod,Mahadevpura,Bengaluru,Karnataka,South,12.98416085,77.71148888
WMQISXM1V1-00648,Powerpod- Hoodi-3,BLR_PPD_Kundalahalli_Main_Rd_Hoodi,Power pod,Mahadevpura,Bengaluru,Karnataka,South,12.98416085,77.71148888
WMQISXM1V1-00638,Pattandur Aghrahara(ITPL),BLR_BMR_Pattandur_Aghrahara_ Metro_station,BMRCL,ITPL,Bengaluru,Karnataka,South,12.987613,77.738211
WMQISXM1V1-00642,Lakdikapul -1,HYD_IRS_Lakdikapul,Indian Railways,Lakdikapul ,Hyderabad,Telangana,South,17.40206,78.48401
WMQISXM1V1-00644,Lakdikapul -2,HYD_IRS_Lakdikapul,Indian Railways,Lakdikapul ,Hyderabad,Telangana,South,17.40206,78.48401
WMQISXM1V1-00651,Hope Farm Channasandra,BLR_BMR_Hope_Farm_Channasandra_Metro_Station,BMRCL,Hope Farm,Bengaluru,Karnataka,South,12.98793,77.75409
WMQISXM1V1-00650,Sri Sathya Sai Hospital ,BLR_BMR_Sri_Sathya_sai_Hospital_ Metro_station,BMRCL,Whitefield,Bengaluru,Karnataka,South,12.98102,77.72762
WMQISXM1V1-00652,Kundalahalli,BLR_BMR_Kundalahalli_ Metro_station,BMRCL,Brookefield,Bengaluru,Karnataka,South,12.977461,77.715761
WMQISXM1V1-00639,Hoodi Junction,BLR_BMR_Hoodi_ Metro_station,BMRCL,Hoodi,Bengaluru,Karnataka,South,12.98873,77.71127
WMQISXM1V1-00649,Garudhachar Palaya,BLR_BMR_Garudhachar_Palaya_ Metro_station,BMRCL,Hoodi,Bengaluru,Karnataka,South,12.99356,77.70376
WMQISXM1V1-00627,Seethramplaya,BLR_BMR_Seethramplaya_ Metro_station,BMRCL,Mahadevpura,Bengaluru,Karnataka,South,12.98092,77.70887
WMQISXM1V1-00658,Kukatpalli 1,HYD_PVT_Hub_Kukatpally,Hub-Private,KPHB,Hyderabad,Telangana,South,17.478526,78.430365
WMQISXM1V1-00660,Kukatpalli 2,HYD_PVT_Hub_Kukatpally,Hub-Private,KPHB,Hyderabad,Telangana,South,17.478526,78.430365
WMQISXM1V1-00661,Kukatpalli 3,HYD_PVT_Hub_Kukatpally,Hub-Private,KPHB,Hyderabad,Telangana,South,17.478526,78.430365
WMQISXM1V1-00664,KR Puram,BLR_BMR_KR_Puram_ Metro_station,BMRCL,Krishnarajapuram,Bengaluru,Karnataka,South,12.99999,77.67794
WMQISXM1V1-00662,Konankunte Cross,BLR_BMR_Konankunte_Cross_ Metro_station,BMRCL,Konankunte,Bengaluru,Karnataka,South,12.884722,77.552778
WMQISXM1V1-00654,Srinagar Colony_Yusufguda Metro,HYD_PVT_Hub_Srinagar Colony_Yusufguda Metro,Hub-Private,Srinagar Colony,Hyderabad,Telangana,South,17.434068,78.43613
WMQISXM1V1-00655,Srinagar Colony_Yusufguda Metro,HYD_PVT_Hub_Srinagar Colony_Yusufguda Metro,Hub-Private,Srinagar Colony,Hyderabad,Telangana,South,17.434068,78.43613
WMQISXM1V1-00656,Srinagar Colony_Yusufguda Metro,HYD_PVT_Hub_Srinagar Colony_Yusufguda Metro,Hub-Private,Srinagar Colony,Hyderabad,Telangana,South,17.434068,78.43613
WMQISXM1V1-00423,Transport Nagar (Kachhi Basti) 1,JPR_PVT_Hub_Transport_Nagar,Hub-Private,Transport Nagar,Jaipur,Rajasthan,North,26.907162,75.8474914
WMQISXM1V1-00364,YADAV & COMPANY 1,JPR_IOC_Yadva & Company_Sodala,IOCL,SODALA,Jaipur,Rajasthan,North,26.901458,75.77108
WMQISXM1V1-00092,SH. JAGDEESH PRASAD YADAV IOC STN.,JPR_IOC_Jagdeesh_Prasad_Yadav_Stn_Subhash_Nagar,IOCL,SUBHASH NAGAR,Jaipur,Rajasthan,North,26.93935,75.79755
WMQISXM1V1-00616,Dheeraj-Nagawara 1,BLR_FRN_HBCS_Layout_Nagawara,Franchise,Nagawara,Bengaluru,Karnataka,South,13.036341,77.618069
WMQISXM1V1-00629,Dheeraj-Nagawara 2,BLR_FRN_HBCS_Layout_Nagawara,Franchise,Nagawara,Bengaluru,Karnataka,South,13.036341,77.618069
WMQISXM1V1-00667,Dheeraj-Nagawara 3,BLR_FRN_HBCS_Layout_Nagawara,Franchise,Nagawara,Bengaluru,Karnataka,South,13.036341,77.618069
WMQISXM1V1-00231,Transport Nagar (Kachhi Basti) 2,JPR_PVT_Hub_Transport_Nagar,Hub-Private,Transport Nagar,Jaipur,Rajasthan,North,26.907162,75.8474914
WMQISXM1V1-00473,Transport Nagar (Kachhi Basti) 3,JPR_PVT_Hub_Transport_Nagar,Hub-Private,Transport Nagar,Jaipur,Rajasthan,North,26.907162,75.8474914
WMQISXM1V1-00674,Necklace Road 1,HYD_IRS_Necklace_Road,Indian Railways,Khairatabad ,Hyderabad,Telangana,South,17.42639,78.45215
WMQISXM1V1-00677,Necklace Road 2,HYD_IRS_Necklace_Road,Indian Railways,Khairatabad ,Hyderabad,Telangana,South,17.42639,78.45215
WMQISXM1V1-00678,Necklace Road 3,HYD_IRS_Necklace_Road,Indian Railways,Khairatabad ,Hyderabad,Telangana,South,17.42639,78.45215
WMQISXM1V1-00428,VIDYA SAGAR INDIAN OIL,JPR_IOC_Vidya_Sagar_Gopalpura,IOCL,GOPALPURA,Jaipur,Rajasthan,North,26.87103,75.78159
WMQISXM1V1-00233,MEENA SERVICE CENTRE,JPR_IOC_Meena_Service_Station_Galta_Gate,IOCL,Bye Pass in Transport Nagar,Jaipur,Rajasthan,North,26.923448,75.84641
WMQISXM1V1-00672,Nature Care Hospital 1,HYD_IRS_Nature_care_Hospital,Indian Railways,Begumpet,Hyderabad,Telangana,South,17.44471,78.46638
WMQISXM1V1-00676,Nature Care Hospital 2,HYD_IRS_Nature_care_Hospital,Indian Railways,Begumpet,Hyderabad,Telangana,South,17.44471,78.46638
WMQISXM1V1-00695,Suchitra Centre Halt 1,HYD_IRS_Suchitra_Centre_Halt,Indian Railways,Quthbullapur,Hyderabad,Telangana,South,17.48919764,78.47296964
WMQISXM1V1-00703,Suchitra Centre Halt 2,HYD_IRS_Suchitra_Centre_Halt,Indian Railways,Quthbullapur,Hyderabad,Telangana,South,17.48919764,78.47296964
WMQISXM1V1-00704,Suchitra Centre Halt 3,HYD_IRS_Suchitra_Centre_Halt,Indian Railways,Quthbullapur,Hyderabad,Telangana,South,17.48919764,78.47296964
WMQISXM1V1-00671,Borbanda 1,HYD_IRS_Borbanda,Indian Railways,Borbanda,Hyderabad,Telangana,South,17.45939391,78.40786453
WMQISXM1V1-00675,Borbanda 2,HYD_IRS_Borbanda,Indian Railways,Borbanda,Hyderabad,Telangana,South,17.45939391,78.40786453
