QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-00936,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00937,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00939,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00940,BLR_PVT_BTM 4th Stage _Mahesh kumar,"BLR_PVT_Hub_BTM 4th Stage,Devarachikkanahalli",Hub-Private,Devarachikkanahalli,Bengaluru,Karnataka,South,12.887042,77.61318
WMQISXM1V1-00964,Golden Sands (NIBM),PUN_PVT_Golden Sands_NIBM,Private,Kondhwa,Pune,Maharashtra,West,18.4687237,73.9004042
WMQISXM1V1-00976,Golden Sands (NIBM),PUN_PVT_Golden Sands_NIBM,Private,Kondhwa,Pune,Maharashtra,West,18.4687237,73.9004042
WMQISXM1V1-00958,Golden Sands (NIBM),PUN_PVT_Golden Sands_NIBM,Private,Kondhwa,Pune,Maharashtra,West,18.4687237,73.9004042
WMQISXM1V1-01234,ZIRAKPUR_ABPDEVELOPERS,MOH_PVT_Hub_ZIRAKPUR_ABPDEVELOPERS,Hub-Private,Mohali,Mohali,Punjab,North,30.630314,76.822726
WMQISXM1V1-01245,M/S VARDHMAN PETROLEUM,GZB_IOC_VARDHMAN PETROLEUM,IOCL,Ghaziabad,Ghaziabad,UP,North,28.715439,77.461558
WMQISXM1V1-01236,ZIRAKPUR_ABPDEVELOPERS,MOH_PVT_Hub_ZIRAKPUR_ABPDEVELOPERS,Hub-Private,Mohali,Mohali,Punjab,North,30.630314,76.822726
WMQISXM1V1-01246,M/S VARDHMAN PETROLEUM,GZB_IOC_VARDHMAN PETROLEUM,IOCL,Ghaziabad,Ghaziabad,UP,North,28.715439,77.461558
WMQISXM1V1-00908,BHARATHI RAGHAVA FUELS ADHOC,"VJD_IOC_BHARATHI RAGHAVA FUELS,Eluru Road",IOCL,Eluru Road,Vijayawada,Andhra,South,16.515867,80.638614
